condition,seed,checkpoint_episode,role,source,copied_to,archive,member,bytes,manifest_bytes,size_match,crc32,sha256,loads_ok,internal_episode_count,episode_count_match,gamma,model_state_keys,target_state_keys,architecture_signature,parameter_tensor_elements,support_shape,scaler_mean_shape,scaler_scale_shape,optimizer_state_entries,optimizer_param_groups,role_architecture_expected,max_model_target_abs_diff
0sen,37,100,attacker,Frozen Senior plus CCTF simulation\0sen_seed37\checkpoints_non_comp\attacker\checkpoint_ep100.pth,senior_junior_results\checkpoints_used_for_eval\0sen\seed37\ep100\attacker_checkpoint_ep100.pth,0Sen_Seed37_evaluated_Checkpoints(1).zip,0Sen_Seed37_evaluated_Checkpoints/attacker_checkpoint_ep100.pth,34911861,34911861,True,0b3cf2d9,30ba887b0f1038a842f966f7add749d4c0cdb06a348d2858fd10f4cb0c9a8c1f,True,100,True,0.95,31,31,68e13e2de3dbf25d4c694b9687664b641b3de69ac415911c25f2ed8aa35cb969,2596458,"(51,)","(567,)","(567,)",22,1,True,4.773324012756348
0sen,37,100,attacker_scout,Frozen Senior plus CCTF simulation\0sen_seed37\checkpoints_non_comp\attacker_scout\checkpoint_ep100.pth,senior_junior_results\checkpoints_used_for_eval\0sen\seed37\ep100\attacker_scout_checkpoint_ep100.pth,0Sen_Seed37_evaluated_Checkpoints(1).zip,0Sen_Seed37_evaluated_Checkpoints/attacker_scout_checkpoint_ep100.pth,34915957,34915957,True,2bc01134,c255801b17ca063d6ebb8f37b7df963da908333ee12d61182f450e38aa62a1ae,True,100,True,0.95,31,31,e01efece43ce32284707e12e5a4cbf956efa375ec86b97f025de36659937003f,2596714,"(51,)","(569,)","(569,)",22,1,True,4.984649181365967
0sen,37,500,attacker,Frozen Senior plus CCTF simulation\0sen_seed37\checkpoints_non_comp\attacker\checkpoint_ep500.pth,senior_junior_results\checkpoints_used_for_eval\0sen\seed37\ep500\attacker_checkpoint_ep500.pth,0Sen_Seed37_evaluated_Checkpoints(1).zip,0Sen_Seed37_evaluated_Checkpoints/attacker_checkpoint_ep500.pth,34911861,34911861,True,e35f0519,d4b117c2edda01d4f8dd4a1bf019e6f9103828c7e4c7a2f76615e72965981d23,True,500,True,0.95,31,31,68e13e2de3dbf25d4c694b9687664b641b3de69ac415911c25f2ed8aa35cb969,2596458,"(51,)","(567,)","(567,)",22,1,True,4.811189651489258
0sen,37,500,attacker_scout,Frozen Senior plus CCTF simulation\0sen_seed37\checkpoints_non_comp\attacker_scout\checkpoint_ep500.pth,senior_junior_results\checkpoints_used_for_eval\0sen\seed37\ep500\attacker_scout_checkpoint_ep500.pth,0Sen_Seed37_evaluated_Checkpoints(1).zip,0Sen_Seed37_evaluated_Checkpoints/attacker_scout_checkpoint_ep500.pth,34915957,34915957,True,019a7f91,8dd36951b77c41c8ef9199ca8e7a7d1f8ddd05d9fc457db3b68e097b784f0eb2,True,500,True,0.95,31,31,e01efece43ce32284707e12e5a4cbf956efa375ec86b97f025de36659937003f,2596714,"(51,)","(569,)","(569,)",22,1,True,5.054292678833008
0sen,37,1000,attacker,Frozen Senior plus CCTF simulation\0sen_seed37\checkpoints_non_comp\attacker\checkpoint_ep1000.pth,senior_junior_results\checkpoints_used_for_eval\0sen\seed37\ep1000\attacker_checkpoint_ep1000.pth,0Sen_Seed37_evaluated_Checkpoints(1).zip,0Sen_Seed37_evaluated_Checkpoints/attacker_checkpoint_ep1000.pth,34911995,34911995,True,781ac25e,e6466b127238e5d55c05ba56d8641a7edf0872cd02b521ad354250bb52aa8d07,True,1000,True,0.95,31,31,68e13e2de3dbf25d4c694b9687664b641b3de69ac415911c25f2ed8aa35cb969,2596458,"(51,)","(567,)","(567,)",22,1,True,4.409947395324707
0sen,37,1000,attacker_scout,Frozen Senior plus CCTF simulation\0sen_seed37\checkpoints_non_comp\attacker_scout\checkpoint_ep1000.pth,senior_junior_results\checkpoints_used_for_eval\0sen\seed37\ep1000\attacker_scout_checkpoint_ep1000.pth,0Sen_Seed37_evaluated_Checkpoints(1).zip,0Sen_Seed37_evaluated_Checkpoints/attacker_scout_checkpoint_ep1000.pth,34916091,34916091,True,2587b0ef,8a6733c07638d17f9e47c897ade0242b2c57f05d00f21b3be0d6196f28f0cf4b,True,1000,True,0.95,31,31,e01efece43ce32284707e12e5a4cbf956efa375ec86b97f025de36659937003f,2596714,"(51,)","(569,)","(569,)",22,1,True,4.781871318817139
0sen,37,2000,attacker,Frozen Senior plus CCTF simulation\0sen_seed37\checkpoints_non_comp\attacker\checkpoint_ep2000.pth,senior_junior_results\checkpoints_used_for_eval\0sen\seed37\ep2000\attacker_checkpoint_ep2000.pth,0Sen_Seed37_evaluated_Checkpoints(1).zip,0Sen_Seed37_evaluated_Checkpoints/attacker_checkpoint_ep2000.pth,34911995,34911995,True,4eac131f,34790e4d9dd6aac2765a3e03e5e0020fc4cd85c84de2d1c3b0eb1e1bc10a2cc3,True,2000,True,0.95,31,31,68e13e2de3dbf25d4c694b9687664b641b3de69ac415911c25f2ed8aa35cb969,2596458,"(51,)","(567,)","(567,)",22,1,True,4.877390861511231
0sen,37,2000,attacker_scout,Frozen Senior plus CCTF simulation\0sen_seed37\checkpoints_non_comp\attacker_scout\checkpoint_ep2000.pth,senior_junior_results\checkpoints_used_for_eval\0sen\seed37\ep2000\attacker_scout_checkpoint_ep2000.pth,0Sen_Seed37_evaluated_Checkpoints(1).zip,0Sen_Seed37_evaluated_Checkpoints/attacker_scout_checkpoint_ep2000.pth,34916091,34916091,True,2743d879,71c3929a8b32f42cbce37a38e0f5e74d6a2989297600ebdb0dba0df6f9d0d724,True,2000,True,0.95,31,31,e01efece43ce32284707e12e5a4cbf956efa375ec86b97f025de36659937003f,2596714,"(51,)","(569,)","(569,)",22,1,True,5.3717241287231445
0sen,37,5000,attacker,Frozen Senior plus CCTF simulation\0sen_seed37\checkpoints_non_comp\attacker\checkpoint_ep5000.pth,senior_junior_results\checkpoints_used_for_eval\0sen\seed37\ep5000\attacker_checkpoint_ep5000.pth,0Sen_Seed37_evaluated_Checkpoints(1).zip,0Sen_Seed37_evaluated_Checkpoints/attacker_checkpoint_ep5000.pth,34911995,34911995,True,21c021ba,b1f2f93021f8ef2b95676e2c64c2cf54c4f993428707d8a82220d02c6fd40d14,True,5000,True,0.95,31,31,68e13e2de3dbf25d4c694b9687664b641b3de69ac415911c25f2ed8aa35cb969,2596458,"(51,)","(567,)","(567,)",22,1,True,4.428192138671875
0sen,37,5000,attacker_scout,Frozen Senior plus CCTF simulation\0sen_seed37\checkpoints_non_comp\attacker_scout\checkpoint_ep5000.pth,senior_junior_results\checkpoints_used_for_eval\0sen\seed37\ep5000\attacker_scout_checkpoint_ep5000.pth,0Sen_Seed37_evaluated_Checkpoints(1).zip,0Sen_Seed37_evaluated_Checkpoints/attacker_scout_checkpoint_ep5000.pth,34916091,34916091,True,7b79277b,e7e9d3391a31dda036aa52e4eebeaa8b467df8e5e29ee49da238cbb8da6a7881,True,5000,True,0.95,31,31,e01efece43ce32284707e12e5a4cbf956efa375ec86b97f025de36659937003f,2596714,"(51,)","(569,)","(569,)",22,1,True,4.887312889099121
