condition,seed,checkpoint_episode,role,internal_episode_count,gamma,top_level_keys,model_state_keys,target_state_keys,architecture_signature,target_architecture_signature,parameter_tensor_elements,support_shape,scaler_mean_shape,scaler_scale_shape,optimizer_state_entries,optimizer_param_groups,max_model_target_abs_diff,loads_ok
0sen,37,1000,attacker_scout,1000,0.95,model_state_dict|target_model_state_dict|optimizer_state_dict|gamma|episode_count|scaler_mean|scaler_scale,31,31,e01efece43ce32284707e12e5a4cbf956efa375ec86b97f025de36659937003f,e01efece43ce32284707e12e5a4cbf956efa375ec86b97f025de36659937003f,2596714,"(51,)","(569,)","(569,)",22,1,4.781871318817139,True
0sen,37,2000,attacker,2000,0.95,model_state_dict|target_model_state_dict|optimizer_state_dict|gamma|episode_count|scaler_mean|scaler_scale,31,31,68e13e2de3dbf25d4c694b9687664b641b3de69ac415911c25f2ed8aa35cb969,68e13e2de3dbf25d4c694b9687664b641b3de69ac415911c25f2ed8aa35cb969,2596458,"(51,)","(567,)","(567,)",22,1,4.8773908615112305,True
0sen,37,2000,attacker_scout,2000,0.95,model_state_dict|target_model_state_dict|optimizer_state_dict|gamma|episode_count|scaler_mean|scaler_scale,31,31,e01efece43ce32284707e12e5a4cbf956efa375ec86b97f025de36659937003f,e01efece43ce32284707e12e5a4cbf956efa375ec86b97f025de36659937003f,2596714,"(51,)","(569,)","(569,)",22,1,5.3717241287231445,True
0sen,37,5000,attacker,5000,0.95,model_state_dict|target_model_state_dict|optimizer_state_dict|gamma|episode_count|scaler_mean|scaler_scale,31,31,68e13e2de3dbf25d4c694b9687664b641b3de69ac415911c25f2ed8aa35cb969,68e13e2de3dbf25d4c694b9687664b641b3de69ac415911c25f2ed8aa35cb969,2596458,"(51,)","(567,)","(567,)",22,1,4.428192138671875,True
0sen,37,5000,attacker_scout,5000,0.95,model_state_dict|target_model_state_dict|optimizer_state_dict|gamma|episode_count|scaler_mean|scaler_scale,31,31,e01efece43ce32284707e12e5a4cbf956efa375ec86b97f025de36659937003f,e01efece43ce32284707e12e5a4cbf956efa375ec86b97f025de36659937003f,2596714,"(51,)","(569,)","(569,)",22,1,4.887312889099121,True
1sen,35,100,attacker,100,0.95,model_state_dict|target_model_state_dict|optimizer_state_dict|gamma|episode_count|scaler_mean|scaler_scale,31,31,68e13e2de3dbf25d4c694b9687664b641b3de69ac415911c25f2ed8aa35cb969,68e13e2de3dbf25d4c694b9687664b641b3de69ac415911c25f2ed8aa35cb969,2596458,"(51,)","(567,)","(567,)",22,1,4.635473251342773,True
1sen,35,100,attacker_scout,100,0.95,model_state_dict|target_model_state_dict|optimizer_state_dict|gamma|episode_count|scaler_mean|scaler_scale,31,31,e01efece43ce32284707e12e5a4cbf956efa375ec86b97f025de36659937003f,e01efece43ce32284707e12e5a4cbf956efa375ec86b97f025de36659937003f,2596714,"(51,)","(569,)","(569,)",22,1,4.916431427001953,True
1sen,35,500,attacker,500,0.95,model_state_dict|target_model_state_dict|optimizer_state_dict|gamma|episode_count|scaler_mean|scaler_scale,31,31,68e13e2de3dbf25d4c694b9687664b641b3de69ac415911c25f2ed8aa35cb969,68e13e2de3dbf25d4c694b9687664b641b3de69ac415911c25f2ed8aa35cb969,2596458,"(51,)","(567,)","(567,)",22,1,4.947711944580078,True
1sen,35,500,attacker_scout,500,0.95,model_state_dict|target_model_state_dict|optimizer_state_dict|gamma|episode_count|scaler_mean|scaler_scale,31,31,e01efece43ce32284707e12e5a4cbf956efa375ec86b97f025de36659937003f,e01efece43ce32284707e12e5a4cbf956efa375ec86b97f025de36659937003f,2596714,"(51,)","(569,)","(569,)",22,1,5.504167556762695,True
1sen,35,1000,attacker,1000,0.95,model_state_dict|target_model_state_dict|optimizer_state_dict|gamma|episode_count|scaler_mean|scaler_scale,31,31,68e13e2de3dbf25d4c694b9687664b641b3de69ac415911c25f2ed8aa35cb969,68e13e2de3dbf25d4c694b9687664b641b3de69ac415911c25f2ed8aa35cb969,2596458,"(51,)","(567,)","(567,)",22,1,4.574663162231445,True
1sen,35,1000,attacker_scout,1000,0.95,model_state_dict|target_model_state_dict|optimizer_state_dict|gamma|episode_count|scaler_mean|scaler_scale,31,31,e01efece43ce32284707e12e5a4cbf956efa375ec86b97f025de36659937003f,e01efece43ce32284707e12e5a4cbf956efa375ec86b97f025de36659937003f,2596714,"(51,)","(569,)","(569,)",22,1,4.790773868560791,True
1sen,35,2000,attacker,2000,0.95,model_state_dict|target_model_state_dict|optimizer_state_dict|gamma|episode_count|scaler_mean|scaler_scale,31,31,68e13e2de3dbf25d4c694b9687664b641b3de69ac415911c25f2ed8aa35cb969,68e13e2de3dbf25d4c694b9687664b641b3de69ac415911c25f2ed8aa35cb969,2596458,"(51,)","(567,)","(567,)",22,1,4.6961894035339355,True
1sen,35,2000,attacker_scout,2000,0.95,model_state_dict|target_model_state_dict|optimizer_state_dict|gamma|episode_count|scaler_mean|scaler_scale,31,31,e01efece43ce32284707e12e5a4cbf956efa375ec86b97f025de36659937003f,e01efece43ce32284707e12e5a4cbf956efa375ec86b97f025de36659937003f,2596714,"(51,)","(569,)","(569,)",22,1,4.642400741577148,True
1sen,35,5000,attacker,5000,0.95,model_state_dict|target_model_state_dict|optimizer_state_dict|gamma|episode_count|scaler_mean|scaler_scale,31,31,68e13e2de3dbf25d4c694b9687664b641b3de69ac415911c25f2ed8aa35cb969,68e13e2de3dbf25d4c694b9687664b641b3de69ac415911c25f2ed8aa35cb969,2596458,"(51,)","(567,)","(567,)",22,1,4.545223236083984,True
1sen,35,5000,attacker_scout,5000,0.95,model_state_dict|target_model_state_dict|optimizer_state_dict|gamma|episode_count|scaler_mean|scaler_scale,31,31,e01efece43ce32284707e12e5a4cbf956efa375ec86b97f025de36659937003f,e01efece43ce32284707e12e5a4cbf956efa375ec86b97f025de36659937003f,2596714,"(51,)","(569,)","(569,)",22,1,4.8552470207214355,True
